         253153657 function calls (246262193 primitive calls) in 169.157 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    45/37    0.003    0.000    0.014    0.000 {built-in method _imp.exec_dynamic}
      371    0.003    0.000    0.007    0.000 colors.py:193(_to_rgba_no_colorcycle)
      688    0.003    0.000    0.005    0.000 functools.py:34(update_wrapper)
     4990    0.003    0.000    0.003    0.000 {built-in method math.sin}
       12    0.002    0.000    0.034    0.003 artist.py:1314(_get_setters_and_targets)
     2326    0.002    0.000    0.048    0.000 inspect.py:606(getdoc)
      225    0.002    0.000    0.004    0.000 sre_compile.py:276(_optimize_charset)
     2833    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      308    0.002    0.000    0.048    0.000 <frozen importlib._bootstrap>:890(_find_spec)
    317/3    0.002    0.000    0.547    0.182 <frozen importlib._bootstrap>:986(_find_and_load)
  397/173    0.002    0.000    0.031    0.000 sre_parse.py:435(_parse_sub)
     2590    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
        1    0.002    0.002    0.003    0.003 six.py:21(<module>)
      492    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      643    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       27    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
     1823    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x10092f9a0}
     4028    0.002    0.000    0.004    0.000 sre_parse.py:254(get)
     2276    0.002    0.000    0.006    0.000 enum.py:283(__call__)
      412    0.002    0.000    0.038    0.000 artist.py:1278(get_valid_values)
     1672    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
     4754    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
      612    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
      475    0.002    0.000    0.002    0.000 {built-in method numpy.array}
       22    0.002    0.000    0.874    0.040 __init__.py:1(<module>)
      157    0.002    0.000    0.002    0.000 deprecation.py:24(_generate_deprecation_warning)
      968    0.002    0.000    0.008    0.000 {built-in method builtins.any}
       30    0.002    0.000    0.002    0.000 {built-in method io.open}
    297/4    0.002    0.000    0.546    0.137 <frozen importlib._bootstrap>:650(_load_unlocked)
      643    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
  304/303    0.002    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
        1    0.002    0.002    0.002    0.002 {method 'readlines' of '_io._IOBase' objects}
       29    0.002    0.000    0.004    0.000 __init__.py:313(namedtuple)
      296    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      643    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
        2    0.002    0.001    0.004    0.002 decoder.py:343(raw_decode)
       26    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
      410    0.002    0.000    0.005    0.000 copy.py:66(copy)
      719    0.002    0.000    0.010    0.000 colors.py:157(to_rgba)
     1677    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
