doing trials...
[1000D[####################                    ]         210185116 function calls (210176890 primitive calls) in 170.397 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      738    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      287    0.001    0.000    0.001    0.000 __init__.py:390(__getitem__)
      233    0.001    0.000    0.001    0.000 pyparsing.py:1400(__init__)
      438    0.001    0.000    0.002    0.000 font_manager.py:889(_json_decode)
     2322    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
     4136    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     2012    0.001    0.000    0.001    0.000 {built-in method builtins.round}
     1260    0.001    0.000    0.001    0.000 colors.py:277(<genexpr>)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
      616    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
       12    0.001    0.000    0.002    0.000 enum.py:134(__new__)
      412    0.001    0.000    0.002    0.000 artist.py:1357(aliased_name)
        1    0.001    0.001    0.001    0.001 geos.py:678(__init__)
  389/288    0.001    0.000    0.003    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1498    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     1155    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1149    0.001    0.000    0.001    0.000 functools.py:64(wraps)
      489    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:147(__enter__)
     2807    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     2807    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      369    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      470    0.001    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
       82    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      397    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     1429    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
     1701    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
      478    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:342(__init__)
      369    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      410    0.001    0.000    0.002    0.000 copy.py:258(_reconstruct)
     1429    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:863(__enter__)
     1075    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
        3    0.001    0.000    0.001    0.000 {built-in method gc.collect}
      587    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       87    0.001    0.000    0.001    0.000 docstring.py:38(__call__)
      369    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      369    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
      992    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
   651/13    0.001    0.000    0.752    0.058 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.001    0.001    0.013    0.013 geos.py:1(<module>)
      763    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      678    0.001    0.000    0.028    0.000 inspect.py:3091(signature)
        1    0.001    0.001    0.003    0.003 pyplot.py:1953(_setup_pyplot_info_docstrings)
      489    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:151(__exit__)
      369    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      229    0.001    0.000    0.001    0.000 bintree.py:72(addRoot)
      454    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
        5    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      228    0.001    0.000    0.956    0.004 algorithm.py:146(getPerimeter)
       54    0.001    0.000    0.004    0.000 __init__.py:889(_open_file_or_url)
      183    0.001    0.000    0.001    0.000 enum.py:833(__and__)
      270    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
     1788    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
     3212    0.000    0.000    0.000    0.000 inspect.py:2527(name)
      274    0.000    0.000    0.003    0.000 function_base.py:451(add_newdoc)
     2196    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      410    0.000    0.000    0.004    0.000 pyparsing.py:1423(copy)
      229    0.000    0.000    0.000    0.000 edgelist.py:29(__init__)
      451    0.000    0.000    0.007    0.000 colors.py:128(is_color_like)
      506    0.000    0.000    0.022    0.000 re.py:198(search)
      678    0.000    0.000    0.027    0.000 inspect.py:2839(from_callable)
      188    0.000    0.000    0.000    0.000 colors.py:845(<listcomp>)
      511    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
     2331    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      239    0.000    0.000    0.006    0.000 rcsetup.py:311(validate_color_for_prop_cycle)
        1    0.000    0.000    0.312    0.312 pyplot.py:4(<module>)
       31    0.000    0.000    0.011    0.000 _collections_abc.py:824(update)
      259    0.000    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
       18    0.000    0.000    0.010    0.001 rcsetup.py:860(validate_cycler)
        1    0.000    0.000    0.006    0.006 lapack.py:1(<module>)
      183    0.000    0.000    0.019    0.000 sre_compile.py:598(_code)
       26    0.000    0.000    0.002    0.000 _backend.py:225(get_defaults)
  212/176    0.000    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
    78/77    0.000    0.000    0.097    0.001 <frozen importlib._bootstrap_external>:1099(create_module)
      229    0.000    0.000    0.000    0.000 heap.py:25(__init__)
       91    0.000    0.000    0.001    0.000 inspect.py:544(_finddoc)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:554(__init__)
     3370    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.001    0.001 ctypes_declarations.py:23(prototype)
       46    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
        2    0.000    0.000    0.030    0.015 core.py:1(<module>)
     1835    0.000    0.000    0.001    0.000 {built-in method posix.fspath}
      438    0.000    0.000    0.001    0.000 posixpath.py:60(isabs)
     1108    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      216    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
       54    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      806    0.000    0.000    0.001    0.000 inspect.py:513(_is_wrapper)
     2000    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
      185    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
       36    0.000    0.000    0.006    0.000 __init__.py:1459(_add_data_doc)
      110    0.000    0.000    0.006    0.000 rcsetup.py:94(<listcomp>)
        1    0.000    0.000    0.027    0.027 core.py:188(read_style_directory)
     2353    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      930    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
       15    0.000    0.000    0.000    0.000 arrayprint.py:1466(_guarded_repr_or_str)
      374    0.000    0.000    0.001    0.000 typing.py:762(__setattr__)
      801    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      489    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
      895    0.000    0.000    0.000    0.000 rcsetup.py:192(validator)
      128    0.000    0.000    0.001    0.000 enum.py:65(__setitem__)
      288    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       46    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
       59    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       24    0.000    0.000    0.003    0.000 traceback.py:321(extract)
      470    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:800(find_spec)
      817    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      172    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     1982    0.000    0.000    0.000    0.000 inspect.py:2539(kind)
      127    0.000    0.000    0.000    0.000 posixpath.py:71(join)
      410    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       67    0.000    0.000    0.001    0.000 pyparsing.py:4011(__init__)
      369    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
       56    0.000    0.000    0.001    0.000 inspect.py:3045(__str__)
       12    0.000    0.000    0.001    0.000 enum.py:176(<setcomp>)
       46    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      169    0.000    0.000    0.000    0.000 enum.py:373(__setattr__)
      470    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      140    0.000    0.000    0.001    0.000 _internal.py:781(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.025    0.025 pyparsing.py:27(<module>)
    63/11    0.000    0.000    0.006    0.001 pyparsing.py:4049(parseImpl)
       83    0.000    0.000    0.001    0.000 pyparsing.py:3870(__init__)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      940    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.012    0.012 numeric.py:1(<module>)
      432    0.000    0.000    0.000    0.000 colors.py:225(<genexpr>)
      183    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.007    0.007 mathtext.py:2822(<listcomp>)
       46    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
      381    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        7    0.000    0.000    0.001    0.000 enum.py:456(<listcomp>)
      229    0.000    0.000    0.000    0.000 bintree.py:48(__init__)
        1    0.000    0.000    0.017    0.017 _axes.py:97(Axes)
      287    0.000    0.000    0.001    0.000 __init__.py:383(__getattr__)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
      108    0.000    0.000    0.001    0.000 deprecation.py:226(finalize)
    78/65    0.000    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1107(exec_module)
      306    0.000    0.000    0.000    0.000 rcsetup.py:123(validate_bool)
